http://names.mongabay.com/data/13000.html
Name    Rank    Number of occurrences     Occurrences per 100,000 people     Cumulative proportion per 100,000 people     Percent Non-Hispanic White Only     Percent Non-Hispanic Black Only     Percent Non-Hispanic Asian and Pacific Islander Only     Percent Non-Hispanic American Indian and Alaskan Native Only     Percent Non-Hispanic of Two or More Races     Percent Hispanic Origin
DUNSMORE     14653     1861     0.69     72112.81     96.61     0.59     0.32     0.81     0.91     0.75
STAUDT     14653     1861     0.69     72113.5     97.42     (S)     0.43     (S)     0.54     1.07
TANSEY     14653     1861     0.69     72114.19     95.11     0.86     0.48     1.24     0.59     1.72
GILYARD     14658     1860     0.69     72114.88     8.87     87.74     (S)     (S)     1.83     1.34
GOSSARD     14658     1860     0.69     72115.57     95.86     0.43     0.81     0.27     0.75     1.88
LUCIDO     14658     1860     0.69     72116.26     91.08     (S)     2.74     (S)     2.37     3.44
OPPENHEIM     14658     1860     0.69     72116.95     96.02     0.27     0.75     0.86     0.81     1.29
OSBOURNE     14658     1860     0.69     72117.64     57.2     38.44     (S)     (S)     2.2     1.45
TONKIN     14658     1860     0.69     72118.32     95.81     (S)     0.59     (S)     1.88     1.51
DUANE     14664     1859     0.69     72119.01     89.56     1.78     1.78     3.01     0.97     2.9
KERRY     14664     1859     0.69     72119.7     82.3     13.02     1.02     0.75     1.34     1.56
MAC     14664     1859     0.69     72120.39     23.35     6.29     67.4     (S)     1.67     (S)
MITZEL     14664     1859     0.69     72121.08     96.5     0.32     0.59     0.65     1.29     0.65
PALOMBO     14664     1859     0.69     72121.77     94.08     0.91     (S)     (S)     1.29     3.39
SOLA     14664     1859     0.69     72122.46     49.22     0.7     6.24     0.27     1.45     42.12
STILLS     14664     1859     0.69     72123.15     54.22     40.4     (S)     (S)     2.69     1.34
FOLLIS     14671     1858     0.69     72123.84     93.86     1.51     0.59     0.75     1.24     2.05
GUNDLACH     14671     1858     0.69     72124.53     97.52     (S)     0.59     (S)     0.65     0.75
HOLLIER     14671     1858     0.69     72125.21     84.28     13.13     (S)     (S)     1.24     1.13
MARIS     14671     1858     0.69     72125.9     84.82     5.01     0.7     0.65     2.15     6.67
MOLER     14671     1858     0.69     72126.59     94.13     (S)     (S)     1.08     1.83     1.99
MOOS     14671     1858     0.69     72127.28     95.64     1.45     (S)     (S)     0.81     1.45
SCHWEIGERT     14671     1858     0.69     72127.97     96.72     (S)     (S)     0.32     1.18     1.45
STALLMAN     14671     1858     0.69     72128.66     96.88     0.65     (S)     (S)     0.7     1.51
VIVEIROS     14671     1858     0.69     72129.35     91.55     0     0.91     0.7     4.47     2.37
AMUNDSEN     14680     1857     0.69     72130.04     95.8     (S)     0.65     (S)     1.78     1.18
BROCATO     14680     1857     0.69     72130.72     94.51     (S)     0.59     (S)     0.7     3.66
CHARTRAND     14680     1857     0.69     72131.41     94.24     0.27     1.02     1.13     1.56     1.78
DREIER     14680     1857     0.69     72132.1     96.77     (S)     (S)     (S)     1.13     1.56
FINKLE     14680     1857     0.69     72132.79     95.48     0.7     (S)     (S)     0.92     2.1
GLESSNER     14680     1857     0.69     72133.48     97.31     (S)     0.65     (S)     0.81     0.86
MEESE     14680     1857     0.69     72134.17     95.32     0.81     (S)     (S)     1.35     1.88
NIGH     14680     1857     0.69     72134.85     94.99     1.24     0.43     0.7     1.02     1.62
WEIBEL     14680     1857     0.69     72135.54     97.09     (S)     0.27     (S)     1.29     1.18
FRITCH     14689     1856     0.69     72136.23     97.09     0.27     0.32     0.32     1.13     0.86
MARKERT     14689     1856     0.69     72136.92     97.25     (S)     0.43     (S)     0.7     1.13
RAHIM     14689     1856     0.69     72137.61     17.78     18.91     39.01     1.19     20.15     2.96
